content,Relevance,Value Item 1-  Violating,Value Item 2 - Violating,Values Violating Outside Schwartz,Value Item - 2 Supporting,Values Supporting Outside Schwartz,Keyword Identified for categorizatin of value(s),Phrases Identified for categorization of value(s)
Thanks for creating this Aus Govt. We appreciate it!!,,,,,,,,
Very well done. Thank you Australia!!,,,,,,,,
Only just got it. Seems to be excellent,,,,,,,,
Nice initiative for information sharing.,,,,,,,,
Thank you. Please stay all safe.,,,,,,,,
Hopefully I won't need the details,,,,,,,,
Need more detailed map.,,,,,,,,
Very good information,,,,,,,,
Well set up app.,,,,,,,,
thicky and creamy corona goodness,,,,,,,,
Rate this 5 stars to increase awareness,,,,,,,,
"Good work in keeping all the information together in one app. May be if we can include hotspots (like suburbs/ streets/ shopsets.,) to avoid might be even more helpful! Good work team!! ??",,,,,,,,
Nice and handy with specific details,,,,,,,,
"Rate 5/5. Easy to use, will save lifes. You",,,,,,,,
Excellent.... information is current and extensive. I feel safe just having it to look through.,,,,,,,,
It is useful apps thank you,,,,,,,,
"If this app goes viral,viral pandemic will be stonewalled,I hope!????????????",,,,,,,,
Great App and information.,,,,,,,,
App has been expanded since I started using it. Well done to the Australian government for providing good information.,,,,,,,,
I cannot get into this app why is this can you help,,,,,,,,
Provides well informed information in a simple format making it easy to find.,,,,,,,,
Absolutely brilliant APP Hence Ver USER FRIENDLY & PROFESSIONAL,,,,,,,,
Tryed to get the app that tracks you i can't seem to find can't find the track8ng app,,,,,,,,
Very easy to set up,,,,,,,,
"I,m just pleased to be part of the govt plan to rid our nation of this virus",,,,,,,,
Let's get past all the fake news and show our solidarity to get this under control!,,,,,,,,
Your one stop app for all info relating to the corona virus,,,,,,,,
To. Make us all safer,,,,,,,,
Upto date information from the Government,,,,,,,,
Easy to use. No worries about security.telstra and Google etc have far more information about me.,,,,,,,,
It was easy to set up I am delighted that such an app has been made available,,,,,,,,
"Needs active cases, unknown origin figures & sub-state-level figures.",,,,,,,,
So far this app is okay. Haven't had any problems with it so far.,,,,,,,,
Easy to use and get latest updates,,,,,,,,
very good app to keep you informed with what's happening with covirt.19,,,,,,,,
Good supply of information in one spot,,,,,,,,
Great updates and information,,,,,,,,
Installed and works fine. Doing my part.,,,,,,,,
Excellent expansion of technology awesome trumpet will sound sooner than later expect 2022 announcement,,,,,,,,
I think it is important to provide a rapid response to this virus,,,,,,,,
"Anything for Australia & to make Australians safe, and a Great country HAS to be good & HAVE everyone's support, hats off to Scomo & the opposition ( bipartisan) working for us all ??????",,,,,,,,
Yes I myself who or has been infective of vjirus,,,,,,,,
Well laid out. Current stats.,,,,,,,,
Relevant accurate information,,,,,,,,
Very good info,,,,,,,,
Leading edge ftv,,,,,,,,
"Finally we got it commisioned! We the people of Australia are miles ahead of Americans Thank Goodness for the sensible people of Australia, of course compared to News corp / Fox news / Trump fans of US!",,,,,,,,
I love this app. It gives me the right advice for COVID-19. Not even laggy. It's a well done app.,,,,,,,,
"This app is a very useful organiser for important information currently being disseminated by the Australian Government. While the app simply links to a lot of website pages, this is extremely helpful if you're looking for specific information. There is a LOT of information material available, inclu...
 Full Review",,,,,,,,
brilliant easy to get up to date info and help,,,,,,,,
Thank you so much for your efforts,,,,,,,,
Provided the info I needed but could have had more information instead of reviews,,,,,,,,
Fantastic App. Extremely informative and easy to use. Great work!,,,,,,,,
Easy to use with mental health notes,,,,,,,,
"Convenient app. Does what it needs. It has various sections if you would like to look into specific topics like child care or getting testing or supporting businesses ect ect, there's a lot there. Symptom tester is available which is great for those curious.",,,,,,,,
We all need to stay strong together in these times,,,,,,,,
"Nothing flashy but works fine. Web Links take you to relevant government sites, good data on modelling sheets.",,,,,,,,
Some people have ulterior motives for criticising everything the government does around coronavirus management.,,,,,,,,
"Good grief. Malcolm Turnbull must have personally overseen this half arsed abomination of an app/collection of web links. The ""app"" serves the function of a search engine that searches only one thing. The difference is, the app Is always 24-72 hours behind updating new information. This will be hand...
 Full Review",,,,,,,,
"Thanks Australian Government. I'm enjoying this socialist version of the Scomo government, thanks for saving lives. Keep it up! Thanks again! ????",,,,,,,,
Great for gaining correct information,,,,,,,,
Information right from the source!!,,,,,,,,
Be very careful about the virus,,,,,,,,
"Well done, Morrison Gov",,,,,,,,
Yes this means you're life. Keep in order.,,,,,,,,
Very Happy to see multiple languages available cater for people of different nationality background,,,,,,,,
"The government has done a really good job handling the virus. I check this app daily for the latest advice, new laws, current infection numbers, etc.",,,,,,,,
This is kept up to date and is good to be kept in the loop as to what is going on.,,,,,,,,
Very informative app,,,,,,,,
Great to be able to find out the actual FACTS without the media's nonense or twisting of the truth to make a sensational story out of it. I really appreciate this app and all the Austrakian Government is doing in these trying times.,,,,,,,,
Very informative thank you,,,,,,,,
